app_name,iOS_app_name,iOS_app_id,iOS_reviews 
Grubhub,grubhub-local-food-delivery,302920553,"3,240,678"
Uber Eats,uber-eats-food-delivery,1058959277,"4,400,356"
Seamless,seamless-local-food-delivery,381840917,"433,190"
Postmates,postmates-fast-delivery,512393983,"1,741,780"
Doordash,doordash-food-delivery,719972451,"1,942,797"
Caviar,caviar-order-food-delivery,931355786,"139,190"
Toast,toast-takeout-delivery,1362180579,"36,321"
Zomato,zomato-food-delivery-dining,434613896,"59,861"
Deliveroo,deliveroo-food-delivery,1001501844,"25,983"
Foodpanda,foodpanda-food-delivery,758103884,"173,057"
