rating,userName,date,title,isEdited,review,app_name,app_id,developerResponse
5,Yogiyuls,2019-08-02 06:19:31,Convenience at its best!!,False,"We’re staying at a hotel in Phuket for a month long vacation. But hotel prices for food are drastically higher than any of the restaurants. Kids don’t want to leave poolside and we were forced to overpay for meals - ordering from hotel, Food Panda really helped out!! Once we discovered this Service - I couldn’t believe that it’s possible!! Not only there is no delivery charges, there is almost always coupon available to use (on top of already lower prices of meals!). Delivery is quick and food always arrives hot, on time and in great condition!! Drivers are very polite and nice and although happy to receive tip - never expect it as a must! Now my kids can play at the pool all day, we get great food delivered straight to us and we do not pay insane prices of the hotel restaurants!! Thank you Food Panda! We will definitely continue to use this service when we go back home!",foodpanda-food-delivery,758103884,
1,Gio770414,2021-09-25 13:46:25,The most embarrassing customer experience,False,"Dear FoodPanda, Thank you for copying and pasting over and over prewritten emails without even reading what your customers say. With extreme disappointment I have to say that I have been served with the poorest and the most embarrassing customer service ever possible. As a senior executive of a company that makes of customer experience their priority, you are proving to know nothing about your customers and so your business. The order was cancelled because of your mistakes and 2 days later you are still copying an pasting the same emails without even reading my messages or understanding what happened. This is simply unacceptable and unfortunately I don’t have any more time to waste with you. I am going to block this payment and do whatever I can to get my 200HKD back, not because of the small amount, but because it’s a matter of principle. I can promise you that you have lost me as a customer forever. Your business won’t suffer for it, don’t worry, but the way in which you serve your customers have been proven to be embarrassing and ridiculously wrong. Since you don’t read the feedback or requests from your customers you won’t probably understand or learn anything from here. What a shame… Congratulations FoodPanda, I can certainly say that you have given to me the worst customer experience in my 44 years! Good luck, G",foodpanda-food-delivery,758103884,
1,Bashar Bhuiyan,2021-07-07 02:55:10,They don’t want to refund you fully in Bangladesh,False,"Once , Some items were missing from one of my order. When I asked the delivery person, he said , he will bring it tomorrow. (Funny proposal, isn’t it? ) So I asked for a refund, The agent wanted to refund me less than half the amount of what i lost and said , its the best he could do. I kept asking him again and again , how much did I lose? (As i could not check at that moment , i did not know how while i was chating with an agent )No matter what , he would not answer me. But later i was able to check and kept asking him , why will i be refunded less than half ? How was that fair? He kept saying its the best he could do and wanted to leave again and again( he did not though) . But I kept telling him that it was unfair . Maybe after 15 to 20 minutes (could be more) he refunded me the full amount. 

I went through a harassment with that. I wish i could hold that agent accountable for what he did. But foodpanda has no Customer Care Number in Bangladesh . I guess , not refunding the customer fully and also claiming the remaining money from the restaurant later is a new way of making some more money for food panda Bangladesh.",foodpanda-food-delivery,758103884,
1,RazBng,2020-03-21 07:57:23,It’s really bad,False,"First of all, the app is saying that certain restaurants do not deliver to my address but when I change the street number to two blocks away suddenly the restaurants become available. Second issue is, after adding the items to the cart and want to checkout, the app is saying that the items are no longer available (my guess is they are to busy at that time and can’t deliver, but I don’t understand why they wouldn’t just say that). After 20-30 minutes, when I try again, I’m able to checkout and place the order (they might have some free spots available). After all of this hustle, I’m just happy that I’ve managed to place the order but to my surprise, sometimes, the order gets canceled when it’s close to arrival time. After talking to other users, it seems that they’ve stumbled upon these issues as well. I can get over the fact that they don’t have a group order, or that I need to walk two blocks from my address to pick up the order, or that I need to try multiple times to place the actual order, but the overall app experience and their delivery system is just bad.",foodpanda-food-delivery,758103884,
2,jamie-899,2019-07-01 12:08:44,Customer Service Leaves a lot to be Desired,False,"If food is running late then all they say is sorry. The message that tells me this comes through to me via text about 50 times. Another issue is restaurants accepting your order, you wait, then 10 minutes before the food is meant to arrive Food Panda texts to say “[restaurant] just closed, sorry about that”. You’ve then wasted your time, and no repercussions on the restaurant as far as I know. Also, they dish out coupons like crazy but only for new customers. I was asked by their employees to rate their app 5 stars on this store in exchange for vouchers whilst visiting the Expo at Impact Arena here in Bangkok. Got my vouchers and now I find out they’re only for new customers too - the employees saw the app on my phone and I told them I’ve used the service multiple times. Talk about tricksters! Customer service didn’t want to help me when I told them neither. I’ve changed my rating and will start looking into Grab Food and similar apps available here. Good concept but poor customer service and loyalty to those already signed up.",foodpanda-food-delivery,758103884,
1,so disappointed client,2020-04-12 10:05:23,Worst CS ever,False,"Because of the quarantine I use Foodpanda several times. And I must thank those riders. Though sometimes the package got leaked or my soup ruined. I never complain. It s the time. But I got really mad this time. I ordered my food Foodpanda estimated its arrival about 45min later. Then I got called in an important meeting. My rider came early about just 20mins. I couldn’t leave. I asked him could he wait or if he could come back 20minutes later I will tip him nicely. Then the rider started blackmailing me and asked for the equal amount of money as my food. Right at that moment the dispatcher called to cancel my order. I asked the dispatcher was there any solution he offered nothing but to cancel my order which I have already paid. I lost my food the day and my money. Not to mention I was cut off by the dispatcher whose English I tried so hard to understand with patience and kindness. And when I contacted their Customer service, three times! And they never give you any solution. And blame it on you! Your blackmailing rider your useless unqualified dispatcher! And the trouble I have to starve for! Thank you food panda and wish you hell",foodpanda-food-delivery,758103884,
5,XTheIdealistX,2021-07-20 05:37:42,Amazing! Full of Variety and Options!,False,"So the app is easy to use, highly ascetic - who can refuse a cute panda? And most importantly- it’s more than a small array of restaurants. From food to essentials, with stores that have actually given you a great array of options from their stock vs typical basics that won’t always satisfy your needs. It may not have play by play tracking but having approximate times with more options to serve you better makes it far superior to its competitors. Icing on this fantastic cake (I may just order one after this) is that the app does incentivize consistently- you don’t need to spend over a hundred dollars constantly to get a paltry benefit like 5 dollars off. No general amounts and purchases can easily reap you discounts more routinely and simply add to the convenience of it all. So in all- 10/10 I certainly recommend.",foodpanda-food-delivery,758103884,
5,order#q5xf-h391,2019-06-05 04:48:30,Dissatisfied with FoodPanda,False,"what happened last night and this morning had obliged me to post this review. their customer service and support (no answers to emails, no phone number to call, restaurant phone number shown in the app doesn’t work, bpo chat representatives are based in india and are disappointing)are totally useless. i believe it is worth campaigning not to use this app. why? the cust serv rep sent me a phone number to call to direct my concern to the resto here in the phils. i told them it is not working. after a few seconds, they just confirmed to me that yes it is really not working just after they called. hahaha... so pathetic... their recommendation and action? nothing but a one word “sorry”. i haven’t had any assurance that they will do anything for the issues because they said they got no control to their affiliated restaurants... huh???",foodpanda-food-delivery,758103884,"{'id': 11328194, 'body': 'Hey there, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support. If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response or you may drop us an email for further assistance.', 'modified': '2019-10-18T11:49:09Z'}"
2,Wojo74327,2021-02-17 06:52:51,"Good order functionality, terrible customer service.",False,"When things go well, there is no problem.  However, inevitably, you will receive an order with a missing / wrong item. It seems FoodPanda does everything in their power to avoid having to offer a refund - from discretely responding to inquiries via email (instead of through the app where the original message was sent), to requiring you to make a choice on type of refund, and finally, once I provided my choice of refund, it was never sent. It seems these processes are built to make it more difficult for consumers to get a refund.  It’s been over 2 weeks since my order and I still haven’t received a refund. 

Can’t complain about how well the food ordering function of the app works - because it works well.  But after my experience with their customer service, it feels they intentionally give customers the run-around with the intention of making it as difficult as possible to get a refund.",foodpanda-food-delivery,758103884,
3,Arooba Mansoor,2020-06-21 00:34:42,Customer Service needs to improve,False,The foodpanda app has no contact options which is extremely problematic since I’ve had trouble with multiple orders. When I tried cancelling my order it would give me the option to cancel my order and then say that it couldn’t be cancelled because the restaurant had accepted my request. It gives no option to contact the restaurant directly or foodpanda representatives in case of any trouble. What kind of service is this? Once you order you’re trapped? The chat option has also been removed. When you open the website on a browser it magically has some sort of contact number hidden somewhere but on the app it’s nowhere to be found. Even tracking the order is extremely inconvenient because when we ask where is my order their response is we don’t know. What is even the point of having a help centre in the first place? Please fix this issue.,foodpanda-food-delivery,758103884,
