review,isEdited,title,userName,rating,date,app_name,app_id,developerResponse
"When I ordered I had mentioned no cheese no pinto beans only black beans I immediately called the restaurant when I saw The complete wrong order with cheese with the pinto beans the restaurant said management will call me, after 30 mins I get a call saying that we will replace the Oder for almost an hour I get no update, so I called the restaurant again they said sorry we can’t deliver as we don’t have delivery boy you give it to the zomato man standing I said what are you talking, when I called you said we are sorry we will have it changed that to the management called me after 30mins, then after an hourlong wait I called the boy told me give it to zomato where do you want me to find zomato guy this is rubbish I’m very disappointed the box is untouched I want some one to look into this matter.",False,Mexican express,sognet,5,2019-07-28 16:53:16,zomato-food-delivery-dining,434613896,
I’ve been a happy and loyal customer with zomato for years! Until this week when 2 weeks in a row I had an issue with my order and instead of fixing the problem they just refunded my money instead of investigating the problem further. The first time the problem occurred I did receive a voucher which I used towards the second order. Then the problem occurred again and their representatives refused to send an additional voucher. Only to tell me my original voucher used would be returned in 2hrs and I needed to order from a different restaurant. So therefore you expect me to wait two hrs to order from a different restaurant and starve my kids til then in order to utilize the voucher. The problem could have been solved by simply gifting me another voucher since the same issue occurred 2 weeks in a row. It was my foolishness to think this problem had been solved and then to think I would receive the same courteous customer service when I did not. In my opinion the representative needed additional training as they were such in a rush to end our chat and care less that I was leaving the chat very unsatisfied! Less learned and I will no longer be using Zomato until they make some changes and put their customer concerns first!,False,Horrible customer service,krlyday,2,2020-06-30 08:51:21,zomato-food-delivery-dining,434613896,
"I stopped using this app when they killed the popular Urban Spoon app, I thought I would give it a look again and wow, what a disappointment.  Why would I use this app at all?  The features that were Urban Spoon are now totally gone.  I could just use google or yelp which are way more updated, and this app no longer lets you search by cuisine unless you click 8 steps deep in filters? Fail.  It just shows you restaurants nearby.  What if the nearby restaurants are not what I am looking for?  It has no more pick cuisine, price range and shake your phone and a cool vegas like slot machine would roll thru food possibilities with sounds and ratings.  Yelp has easy cuisine slider with one click.  For those who never knew Urban Spoon you are the lucky ones as you have no idea what you are missing as this app deleted it and replaced with an app not worth taking up space on my phone.   Nothing to see here, keep moving along.. so sad..  I can't see what value this app brings to anything, it's purpose is irrelevant.  The reviews here that are more than 1 star are either fake or have never heard of yelp.  Bring back Urban Spoon and see which app users prefer or just continue to force people to login to this app after reading the bad reviews to see it is really that bad.  Click, delete.",False,"Fail fail fail, please bring back the Urban Spoon",itechsupport,1,2017-08-31 08:10:05,zomato-food-delivery-dining,434613896,
"They missed some items from my order and instead of asking the restaurant to correct it they said that they would give 50 rupees in COUPONS to my account. In other words instead of refunding the amount of missing items or delivering them to my house they said they would give me coupons (not even ZOMATO credit) but coupons so that I would have no choice but to spend more money on their site. Their customer service is disgusting. They wanted the customer to bear the burden of the restaurant’s mistake and their incompetence. They don’t even have a helpline they just chat with you and keep suggesting that they will make sure nothing bad happens on you next order. They suggested to me to order from the same restaurant, who had messed up my first order....instead of fixing the blunder that they had made they want me to trust and pay money to the same restaurant again. I was a lot loyal costumer of ZOMATO and I ordered a lot of food there. But after I brought up this issue and I witnessed their pathetic customer service when a loyal customer has a genuine problem....I can no longer order from them. I left ZOMATO the other a bitter taste in my mouth. I will save my money, my health, and my peace of mind by never dealing with them again.",False,Horrible site customer service,YlimeB,1,2019-12-23 13:30:22,zomato-food-delivery-dining,434613896,
"Decent app and user friendly interface but that’s where the quality ends.  Delivery times are unreliable (can’t track like uber eats) and frequently payment is charged before the restaurant can confirm that the order can be fulfilled and you’re stuck with a charged credit card looking for options to replace what you ordered. Same responses from Zomato customer service when you complain, “we will follow up and give the restaurant a stern warning “ etc etc.  Nothing improves.  For quick and reliable delivery times Uber eats is the way to go.
UPDATE:  I have long since deleted the app and no longer use it it’s a joke and I’m giving it one star because zero is not an option.  After writing my first review 8 months ago I’d hoped things might improve but same story.  Delivery is late or order is accepted and card is charged without the restaurant knowing if they can fulfill the order, you complain and they apologize and give you zomato credits, pointless.  I use this app in the UAE and there are better options here.. don’t bother",True,Erratic delivery times..USELESS APP,bloodclotdem,1,2019-09-28 09:32:25,zomato-food-delivery-dining,434613896,"{'id': 7502408, 'body': 'Hi there, apologies for the inconvenience caused. Kindly share your order ID (the 10-digit number) with us so that we can look into what went wrong and do the needful. Thanks.', 'modified': '2019-09-28T09:32:25Z'}"
"Professional all around, but in the particular country I reside, the app can not determine if a particular restaurant is actually open for business. It will allow you to order, then it will send a text saying it could not fulfill the order and that a refund will be issued within a week. I have not had any problem receiving these refunds within the week, but it is frustrating to spend all that time analyzing the menu and selecting the food you want only to have to start all over at a different restaurant. The glitch is never fixed either. I could subsequently order again from the same closed restaurant over and over even days or weeks later. The app should be able to detect a closed situation and then remove ordering for that restaurant until further notice.",False,Refund situation somewhat frustrating,Scotty Doodelly,4,2020-05-24 07:41:58,zomato-food-delivery-dining,434613896,
"I placed an ordered, the order was delayed, contacted chat support where no one replied, contacted the restaurant where the restaurant said the order has already been sent out, but the driver did not deliver the meal and had cancelled the order without the app giving me any notification. 20 mins later the app said they have completed the delivery and the order has been delivered while I have not received anything. Basically, if the driver was unable to deliver your meal, and you had already been charged with the credit card, forget about anything replying anything to you. The restaurant or zomato. You are at a loss. No compensation given. No one picks up your call, or replies to your chat — not after 6 hours away, after 6 hours the customer support chat replies after I had mentioned the issue again, and said refund will take 2-7 days -‘s no compensation can be given. Before we ended our chat conversation, he asked me to rate this chat positively as I would be rating the chat not the restaurant.",False,No one replies at chat support,Babibabibear,1,2019-11-20 16:28:27,zomato-food-delivery-dining,434613896,
"This app changes too much fees for the reason of improvement but unfortunately it just getting money for nothing you can save by calling the restaurant.
I had bad experience with this app when I ordered a food and when the restaurant didn’t take too much time I chat with this app bad customer care and they told me you can’t cancel your order it’s out for delivery just wait for short time and waiting I called the restaurant and they told me your order has been canceled by the app !!!!!!!! 
I lost money and time when I chat with them to complain they told me the restaurant called you but you didn’t answer which is not excuse at all especially if they told me it out for delivery 

I will not use this app again because they are not transparent",False,Bad bad service and less transparency,CU211212,5,2018-10-02 18:18:48,zomato-food-delivery-dining,434613896,"{'id': 5349414, 'body': 'Hello, apologies for the inconvenience caused. Kindly share your order ID (the 10-digit number) with us so that we can look into what went wrong and do the needful. Thanks.', 'modified': '2018-10-04T03:29:29Z'}"
"The application itself needs an update. It was really good before they tried to be fancy and updated their app. Lately it takes time to load.
Couple of days back, placed an order, it was delivered to the wrong apartment number. This was the second time in 4 days. When contacted the customer service, they were first unable to trace the account. Robotic message pls give registered mobile number. After sending them the screenshot they said pls update address as it shows my previous apartment number which i deleted 5 days back. Still the robot didnt want to stop arguing and asked me to delete the current address and update it again. 
Slow claps for the amazing service",False,Service levels are dropping like pack of cards,thedevil_ron,5,2019-03-21 15:14:06,zomato-food-delivery-dining,434613896,"{'id': 7856348, 'body': 'Hi there, apologies for the inconvenience caused. Kindly drop us a mail (order@zomato.com) regarding this so that we can look in to what went wrong. Thanks.', 'modified': '2019-03-22T11:21:56Z'}"
"I ordered many times but last time ordered and the item I ordered was not given but instead switch to another product.  

I contacted Customer Care via the app and the Customer Service Rep said to me that I should just accept what I got.  

I said I don’t want it and he insisted and trie for emotionally blackmail me using the Covid crisis.  

He said there is nothing that can be done.  I said I am asking for a refund only if the vendor can not provide the item requested and he can take the product he gave as I am allergic to what he gave.  

The CSR still insisted I accept what given and refuses to do anything else and he went on to stay that the vendor has the right to give any product instead of the requested if they do not have the product they have listed.  

I have screenshot the entire chat session.  The point of the money is not the case it is the principal.  How in the world can Zomato expect a consumer to just accept any product because their partner screwed up.  

It was disgusting to be in that chat.  They surly have no Customer Service concept in the organization, assuming what the CSR stated is correct. They do not provide any refunds and they only take feedback.   If that is the case then the company does not have any customer service.  

So at the end Zomato is not taking accountability and expect the customer to accept what they get so that their jobs becomes easier. 

If I could I would of posted the chat screenshots.",False,Their customer is Horrible,asadhkahn,1,2020-04-30 08:51:25,zomato-food-delivery-dining,434613896,
"The food is good which is the restaurants responsibility, however, the app and coupons are very unreliable. Many times I'm about to check out and it tells me ""the delivery for this restaurant is unavailable to your address"". I called the restaurant and they are delivering so zomato has made the decision of now delivering the food. Super annoying. Additionally, my welcome coupon wasn't working and I reached out three times to see why that was happening. They got back to me after I had already ordered with the coupon just to tell me that ""sorry, you've already place your order without using the coupon so you can't use it anymore"". There are better apps like swiggy and uber eats that I'd recommend. On top of everything, zomato's customer service is horrendous. The staff is unknown and you can only chat with because there isn't a number to call. Two of the three times, the staff was incredibly unhelpful, rude and didn't care. I would recommend not to use this app.",False,Awful customer service,PBuffay,1,2019-12-19 15:24:04,zomato-food-delivery-dining,434613896,
